;;;Enhed;År;;;;;;;;;;Vinter;;;;;;;;;;Forår;;;;;;;;;;Sommer;;;;;;;;;;Efterår;;;;;;;;;
Danmark;;;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;;Reference (1981-2010);Start århundrede (2011-2040);;;Midt århundrede (2041-2070);;;Slut århundrede (2071-2100);;
;;;;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil;Median;Nedre: 10-percentil;Øvre:  90-percentil
Gennemsnitsnedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/døgn;2,03;2,13;2,02;2,28;2,14;2,05;2,31;2,18;2,06;2,42;2,01;2,11;1,90;2,42;2,18;2,00;2,51;2,27;2,03;2,55;1,40;1,46;1,35;1,70;1,50;1,31;1,67;1,55;1,40;1,76;2,28;2,39;1,98;2,76;2,38;2,07;2,85;2,35;2,06;2,91;2,46;2,54;2,34;2,80;2,49;2,33;2,79;2,57;2,33;2,79
;;Ændring;%;;4,22;-1,88;11,85;5,75;-0,32;13,40;6,97;-0,29;20,16;;5,49;-5,75;17,95;9,26;0,15;23,85;12,29;3,00;26,81;;4,80;-4,90;22,11;6,77;-5,54;21,47;12,14;-1,74;25,27;;3,20;-10,87;20,15;5,26;-10,84;20,18;4,62;-11,57;30,01;;2,87;-6,10;15,08;3,76;-6,96;14,22;4,31;-5,74;15,56
;Højt CO2-niveau (RCP8.5);Absolutte;mm/døgn;2,03;2,13;2,04;2,22;2,17;2,05;2,32;2,31;2,12;2,52;2,01;2,12;1,92;2,28;2,25;2,05;2,47;2,49;2,22;2,82;1,40;1,46;1,34;1,63;1,56;1,43;1,72;1,70;1,50;1,88;2,28;2,39;2,17;2,63;2,27;2,06;2,70;2,21;1,96;2,85;2,46;2,51;2,38;2,69;2,60;2,35;2,83;2,71;2,39;3,08
;;Ændring;%;;4,42;-1,57;10,27;6,56;0,17;15,07;13,75;2,43;24,60;;5,20;-5,69;14,84;11,93;2,36;23,11;24,47;9,97;41,41;;4,06;-6,46;19,40;11,48;0,78;24,90;20,00;6,13;36,91;;3,19;-5,79;17,86;-0,38;-10,49;19,78;-2,12;-16,61;26,70;;2,07;-6,31;11,49;5,26;-5,06;16,00;9,78;-2,78;26,75
Maksimal døgnnedbør;Mellem CO2-niveau (RCP4.5);Absolutte;mm/døgn;32,69;34,42;31,17;38,90;35,66;32,52;40,25;36,58;32,52;41,30;16,75;17,93;16,50;19,35;18,56;17,12;19,97;18,87;17,45;20,41;16,46;17,33;14,98;19,30;17,66;15,57;19,89;18,39;16,10;20,43;28,04;29,85;26,05;34,30;30,76;27,66;35,90;31,62;27,46;36,82;23,61;24,23;22,08;27,11;25,11;22,62;27,65;25,35;22,85;28,07
;;Ændring;%;;6,28;-5,16;18,71;9,71;-1,02;22,85;12,98;-1,35;27,18;;6,80;-3,13;18,62;10,16;0,12;21,87;12,38;1,91;25,10;;5,06;-8,08;18,11;6,82;-4,26;21,93;10,82;-0,45;26,07;;5,67;-9,14;23,27;9,98;-4,66;27,74;12,07;-4,46;34,91;;3,96;-7,76;16,04;7,15;-4,69;19,11;9,16;-4,62;20,99
;Højt CO2-niveau (RCP8.5);Absolutte;mm/døgn;32,69;35,03;32,13;38,58;36,58;33,51;41,23;40,21;35,32;47,41;16,75;17,66;16,34;19,21;18,70;17,50;20,25;20,65;19,10;22,32;16,46;17,36;15,92;18,95;18,62;16,86;20,51;20,25;18,14;22,53;28,04;30,34;27,23;33,99;31,41;27,66;35,99;33,57;28,15;40,93;23,61;24,45;22,51;26,72;25,66;23,41;28,48;28,05;25,73;30,55
;;Ændring;%;;7,03;-3,15;19,23;12,54;1,67;25,05;23,02;8,16;43,62;;5,09;-4,89;15,83;11,80;2,11;22,21;23,29;10,52;35,75;;5,49;-5,99;17,12;13,06;0,70;26,24;22,68;8,66;40,10;;7,56;-4,78;23,91;12,26;-3,06;28,83;19,41;-0,43;46,84;;3,55;-6,83;15,14;8,68;-1,97;20,73;18,45;7,74;30,38
