"id","by"
1,"Albertslund"
2,"Allerød"
3,"Assens"
4,"Ballerup"
5,"Billund"
6,"Bornholm"
7,"Brøndby"
8,"Brønderslev"
9,"Dragør"
10,"Egedal"
11,"Esbjerg"
12,"Fanø"
13,"Favrskov"
14,"Faxe"
15,"Fredensborg"
16,"Fredericia"
17,"Frederiksberg"
18,"Frederikshavn"
19,"Frederikssund"
20,"Furesø"
21,"Faaborg-Midtfyn"
22,"Gentofte"
23,"Gladsaxe"
24,"Glostrup"
25,"Greve"
26,"Gribskov"
27,"Guldborgsund"
28,"Haderslev"
29,"Halsnæs"
30,"Hedensted"
31,"Helsingør"
32,"Herlev"
33,"Herning"
34,"Hillerød"
35,"Hjørring"
36,"Holbæk"
37,"Holstebro"
38,"Horsens"
39,"Hvidovre"
40,"Høje-Taastrup"
41,"Hørsholm"
42,"Ikast-Brande"
43,"Ishøj"
44,"Jammerbugt"
45,"Kalundborg"
46,"Kerteminde"
47,"Kolding"
48,"København"
49,"Køge"
50,"Langeland"
51,"Lejre"
52,"Lemvig"
53,"Lolland"
54,"Lyngby-Taarbæk"
55,"Læsø"
56,"Mariagerfjord"
57,"Middelfart"
58,"Morsø"
59,"Norddjurs"
60,"Nordfyns"
61,"Nyborg"
62,"Næstved"
63,"Odder"
64,"Odense"
65,"Odsherred"
66,"Randers"
67,"Rebild"
68,"Ringkøbing-Skjern"
69,"Ringsted"
70,"Roskilde"
71,"Rudersdal"
72,"Rødovre"
73,"Samsø"
74,"Silkeborg"
75,"Skanderborg"
76,"Skive"
77,"Slagelse"
78,"Solrød"
79,"Sorø"
80,"Stevns"
81,"Struer"
82,"Svendborg"
83,"Syddjurs"
84,"Sønderborg"
85,"Thisted"
86,"Tønder"
87,"Tårnby"
88,"Vallensbæk"
89,"Varde"
90,"Vejen"
91,"Vejle"
92,"Vesthimmerland"
93,"Viborg"
94,"Vordingborg"
95,"Ærø"
96,"Aabenraa"
97,"Aalborg"
98,"Aarhus"
99,"Danmark"
